Timestamp,Please select a character to submit matchup data for.,What is your approximate skill level?,What is your tag?,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus,"I attest that the data I am submitting is my actual opinion, and I am not submitting junk data to cause a headache."
9/23/2023 0:28:00,Jigglypuff,High Level (I regularly make it out of pools in tournaments),SgtPingwen,55:45,50:50,45:55,45:55,45:55,50:50,30:70,55:45,50:50,40:60,50:50,50:50,55:45,40:60,40:60,30:70,50:50,45:55,60:40,40:60,40:60,40:60,30:70,30:70,40:60,50:50,60:40,50:50,45:55,45:55,55:45,60:40,55:45,50:50,40:60,40:60,30:70,50:50,40:60,55:45,50:50,40:60,Yes
9/23/2023 0:31:40,Link,High Level (I regularly make it out of pools in tournaments),Link,60:40,40:60,50:50,50:50,45:55,50:50,30:70,60:40,55:45,45:55,55:45,70:30,60:40,60:40,50:50,50:50,50:50,40:60,70:30,40:60,45:55,40:60,55:45,60:40,55:45,55:45,70:30,50:50,55:45,45:55,50:50,60:40,40:60,50:50,40:60,45:55,45:55,50:50,30:70,50:50,60:40,40:60,Yes
9/23/2023 0:36:03,Mewtwo,High Level (I regularly make it out of pools in tournaments),Burt,70:30,40:60,70:30,,45:55,70:30,50:50,50:50,80:20,40:60,,80:20,,,45:55,40:60,50:50,40:60,,60:40,50:50,50:50,50:50,60:40,60:40,,,,40:60,,45:55,,60:40,70:30,60:40,60:40,30:70,55:45,45:55,,60:40,40:60,Yes
9/23/2023 1:09:52,Captain Falcon,Intermediate (I have participated in multiple tournaments),#1FalcoHater,,,,,,50:50,60:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
9/23/2023 1:38:17,Squirtle,High Level (I regularly make it out of pools in tournaments),Plate,55:45,50:50,45:55,50:50,30:70,45:55,30:70,45:55,20:80,50:50,60:40,70:30,45:55,50:50,40:60,30:70,40:60,45:55,50:50,45:55,30:70,30:70,40:60,40:60,45:55,45:55,60:40,50:50,55:45,60:40,45:55,60:40,50:50,45:55,40:60,50:50,40:60,40:60,70:30,30:70,50:50,45:55,Yes
9/23/2023 3:44:17,Wario,High Level (I regularly make it out of pools in tournaments),malk (malkasaur on discord),60:40,50:50,45:55,50:50,45:55,50:50,45:55,60:40,30:70,,40:60,,60:40,45:55,50:50,55:45,45:55,55:45,60:40,50:50,40:60,45:55,40:60,60:40,60:40,45:55,60:40,50:50,50:50,60:40,50:50,60:40,50:50,60:40,40:60,55:45,55:45,50:50,45:55,60:40,60:40,45:55,Yes
9/23/2023 5:29:45,Squirtle,Top Player (I have won regional or larger sized tournaments),Cloudburst,70:30,60:40,70:30,55:45,50:50,55:45,40:60,70:30,50:50,60:40,60:40,60:40,70:30,55:45,55:45,45:55,55:45,50:50,60:40,45:55,55:45,45:55,60:40,60:40,40:60,50:50,60:40,55:45,40:60,50:50,55:45,60:40,55:45,60:40,55:45,50:50,40:60,55:45,55:45,30:70,55:45,45:55,Yes
9/23/2023 9:21:38,Captain Falcon,High Level (I regularly make it out of pools in tournaments),Studebacher Hoch,70:30,50:50,60:40,60:40,50:50,45:55,40:60,60:40,70:30,55:45,70:30,55:45,60:40,70:30,55:45,55:45,50:50,60:40,70:30,55:45,50:50,40:60,55:45,60:40,60:40,60:40,70:30,70:30,60:40,60:40,60:40,70:30,30:70,60:40,45:55,50:50,70:30,55:45,45:55,50:50,70:30,50:50,Yes
9/23/2023 9:56:47,R.O.B.,Intermediate (I have participated in multiple tournaments),Montblanc,60:40,40:60,,50:50,45:55,50:50,45:55,45:55,60:40,60:40,60:40,60:40,50:50,55:45,45:55,45:55,50:50,45:55,50:50,45:55,45:55,40:60,45:55,40:60,55:45,50:50,45:55,45:55,40:60,50:50,60:40,70:30,40:60,45:55,50:50,45:55,50:50,50:50,40:60,55:45,45:55,40:60,Yes
9/23/2023 10:24:45,Snake,Intermediate (I have participated in multiple tournaments),CaptainPlanetWithMetalArms,70:30,45:55,50:50,50:50,60:40,55:45,40:60,60:40,40:60,50:50,50:50,70:30,55:45,45:55,40:60,50:50,40:60,45:55,70:30,50:50,45:55,40:60,45:55,60:40,50:50,60:40,50:50,50:50,50:50,55:45,45:55,50:50,40:60,50:50,30:70,45:55,50:50,50:50,45:55,55:45,50:50,45:55,Yes
9/23/2023 11:11:05,Sonic,Intermediate (I have participated in multiple tournaments),Dan,60:40,55:45,60:40,60:40,55:45,55:45,50:50,70:30,,,,70:30,,,,,,,55:45,50:50,55:45,45:55,,,,,60:40,,,,,,45:55,,,,,,45:55,,,,Yes
9/23/2023 11:11:20,Sonic,Intermediate (I have participated in multiple tournaments),Champior,60:40,40:60,60:40,55:45,55:45,40:60,30:70,70:30,40:60,60:40,55:45,60:40,70:30,60:40,45:55,60:40,60:40,30:70,60:40,30:70,45:55,60:40,60:40,55:45,55:45,50:50,55:45,55:45,60:40,55:45,50:50,50:50,40:60,60:40,50:50,55:45,60:40,60:40,45:55,55:45,50:50,40:60,Yes
9/23/2023 12:01:30,Mario,High Level (I regularly make it out of pools in tournaments),Loyal,70:30,45:55,55:45,60:40,60:40,40:60,40:60,30:70,40:60,50:50,50:50,60:40,60:40,60:40,45:55,45:55,60:40,55:45,45:55,50:50,40:60,55:45,30:70,55:45,60:40,60:40,45:55,55:45,55:45,45:55,45:55,45:55,40:60,55:45,60:40,55:45,45:55,45:55,40:60,60:40,40:60,45:55,Yes
9/23/2023 12:09:43,Wario,Intermediate (I have participated in multiple tournaments),Nolra,60:40,50:50,50:50,55:45,45:55,50:50,45:55,60:40,30:70,50:50,40:60,45:55,60:40,45:55,50:50,55:45,45:55,55:45,60:40,50:50,40:60,40:60,40:60,55:45,60:40,45:55,60:40,55:45,55:45,55:45,55:45,60:40,50:50,55:45,40:60,55:45,55:45,50:50,40:60,60:40,60:40,40:60,Yes
9/23/2023 12:15:35,Donkey Kong,Intermediate (I have participated in multiple tournaments),Nolra,50:50,50:50,50:50,50:50,50:50,45:55,50:50,50:50,30:70,50:50,,,,60:40,,55:45,,,60:40,40:60,50:50,,,40:60,60:40,,,50:50,,,60:40,,45:55,,30:70,,,50:50,40:60,60:40,,,Yes
